Date,Close,High,Low,Open,Volume
,AAPL,AAPL,AAPL,AAPL,AAPL
2026-07-28,339.78692626953125,342.59453283396704,335.31080637618777,339.73698155301014,51859000
2026-07-29,337.8985900878906,344.2730974331505,337.0593175600121,339.43727163464206,56090800
2026-07-30,333.1426696777344,334.4615395264105,329.30598233808786,332.8129674612056,74817800
2026-07-31,308.6438293457031,310.4222943774597,299.7415030462749,304.54735603914753,132489100
2026-08-03,303.1585693359375,311.5313230344714,302.29929450581176,309.313234694189,75052000
2026-08-04,309.1134033203125,310.1525156602479,301.0603512911937,302.46913991298527,68001000
2026-08-05,310.7320251464844,311.4414048335362,305.40663118634393,309.09342362565195,49438800
2026-08-06,312.14080810546875,316.0174696892129,308.96355554648414,314.06913775686996,46139900
2026-08-07,313.05999755859375,314.53873325457766,310.47223295908327,311.1816431226555,34437200
2026-08-10,308.260009765625,308.260009765625,304.6099853515625,306.8299865722656,44812500
2026-08-11,304.9100036621094,309.9700012207031,302.7900085449219,307.75,37476700
2026-08-12,302.25,305.6600036621094,300.57000732421875,305.1000061035156,41657800
2026-08-13,305.260009765625,306.0,302.04998779296875,304.2099914550781,40349300
2026-08-14,305.92999267578125,307.489990234375,304.29998779296875,306.0,28229400
2026-08-17,305.5899963378906,307.6600036621094,302.94000244140625,306.2099914550781,38169300
2026-08-18,310.0299987792969,311.489990234375,305.739990234375,307.5799865722656,53424500
2026-08-19,316.8299865722656,319.2799987792969,309.6000061035156,310.1400146484375,50505600
2026-08-20,311.29998779296875,320.2799987792969,310.6499938964844,317.4599914550781,40959200
2026-08-21,309.3500061035156,312.3800048828125,307.010009765625,312.04998779296875,46876800
2026-08-24,310.3399963378906,313.3599853515625,309.9700012207031,311.4700012207031,34673600
2026-08-25,309.8999938964844,313.5899963378906,308.2099914550781,310.7900085449219,25869800
2026-08-26,313.45001220703125,315.42999267578125,308.79998779296875,310.29998779296875,34024500
2026-08-27,314.5799865722656,315.3999938964844,309.40008544921875,310.5450134277344,32248789
