id,value,predictor
0,52.598827942484235,21.926586898644185
1,57.38466579995411,24.12708174494015
2,59.63376129244322,24.067548180003193
3,53.31263431403564,26.527394035771646
4,41.841897150345616,20.105019208163796
5,37.69135683566045,23.40976485647482
6,55.21941565616898,18.44866621703272
7,44.33702270397228,21.62083176244221
8,61.58595579007404,19.349284728161578
9,50.9707754934804,20.48497982496359
10,47.654128666248525,22.97578512718457
11,30.86719755342202,15.908896583832638
12,47.80328112162488,30.4619363784273
13,38.31321962380468,14.96991309250149
14,23.802548959102555,13.92905693606134
15,45.79354677234641,25.790554367500338
16,58.2206015999449,23.95831346981468
17,42.801557916052914,23.120599085260775
18,68.96792982653947,23.1417275463214
19,44.556172754748175,19.938766135765427
20,45.365823071875376,15.513728142570843
21,51.7136828118997,20.37902279096863
22,53.142473325952736,16.61419144243944
23,64.65648768921554,24.875598667088756
24,60.03532897892024,19.264713092489306
25,65.79212815507391,15.872514016037442
26,34.493365689338674,18.39307079173503
27,65.38036566465969,22.064657271378124
28,30.124310853991073,17.181377235980126
29,41.91506397106812,15.888898022167842
30,35.214780096325725,21.218436057459563
31,30.403298761202244,21.224832855543614
32,46.98896304410711,17.46528412314435
33,57.8182287177731,17.644808471908387
34,57.14000494092092,21.16024968678818
35,71.90455625809979,12.75957829251338
36,53.287511096596845,12.962681128117223
37,59.31280119116199,16.40777889373782
38,41.42842443583717,18.932764241440765
39,43.98293387770603,21.55453782799002
40,49.65288230294757,27.37678108474776
41,50.68562974806027,24.288298116010097
42,50.99651365087641,19.200307350182864
43,65.64643655814007,19.904918960486555
44,49.64173960890049,14.987353176810956
45,51.96861235869123,19.90743432003805
46,36.795433869157236,18.556706805399312
47,45.53485047932979,21.613592801690448
48,56.47688538100692,15.863845282238385
49,53.61395605508414,22.596732571205862
50,52.08863595004755,27.66369456501289
51,47.76537214674149,19.456199257715713
52,40.90612545205261,22.008558610494706
53,42.85648581973632,23.450719958555563
54,50.91760776535502,17.993897640570818
55,58.22544912103189,21.120462409052084
56,47.35343166762044,20.062962003908975
57,50.60230209941027,20.48838049274416
58,57.87084603742452,16.13495108072267
59,41.10485570374477,20.122550871294713
60,38.49006422577697,22.489991456227248
61,54.73237624573545,27.255718038975207
62,53.75698018345672,24.796354130426035
63,52.14093744130204,30.765912287557782
64,48.61735698828815,16.163262185559752
65,-30.0,24.361603183603393
66,53.57112571511746,20.91671002869176
67,65.23029856408026,30.94901466608836
68,64.77894044741517,15.958508573224243
69,48.387142883339905,15.80139078909612
70,30.812287847009586,17.00303677277989
71,64.02794310936099,9.380521378450965
72,50.870470682381715,17.371224891596196
73,39.37696286273895,16.20433669223151
74,58.135172173696695,20.75196893238104
75,44.81729781726352,21.708779878885796
76,55.42560043585965,29.380854196079433
77,54.12780926936498,24.75211919093025
78,49.86502775262066,17.115481721687985
79,39.29107501938888,15.50792664325821
80,68.8618590121053,22.459595857532527
81,52.96120277064576,13.39883396489679
82,46.078918468678424,29.15729382927177
83,59.15402117702074,25.897200603606436
84,46.77938483794325,17.654121739476476
85,65.4993440501754,11.43432735454561
86,145.0,26.769361870827066
87,47.00992649534132,19.42730077373691
88,43.99361310081195,26.189081559867308
89,49.228982905858956,12.027861706028165
90,50.13001891877907,17.003124885231134
91,38.08696502797351,20.026218498590914
92,52.27459934604129,20.23490296882371
93,56.25667347765006,17.74967264260378
94,58.21902504375224,23.114249661737492
95,49.27989878419666,14.661897853087028
96,42.979469061226474,19.288102574893532
97,47.74223699513465,20.601478158559495
98,53.61636025047634,22.572194170293745
99,34.851527753141355,23.558074390444446
100,38.037933759193294,14.376789540810655
101,45.2082576215471,12.329429146321889
102,44.377124707590276,26.388384109492545
103,49.25554084233833,21.661570059897958
104,49.271710873431275,16.25756731721723
105,44.70239796232961,27.755759877612615
106,60.57122226218916,20.578373171464293
107,35.364850518678814,25.896485920319133
108,39.422890710441,20.337592407050543
109,49.73486124550783,30.303739624409936
110,57.910319470430466,28.77670421221602
111,54.96714153011233,18.75517925760463
112,45.34270246429743,24.857854754771775
113,45.30525614065048,23.22687974792574
114,50.67528204687924,26.84315778766174
115,48.14341023336183,15.175382697099478
116,61.42822814515021,23.430257299992196
117,37.63049289121918,25.29212243424794
118,55.13267433113356,11.206302567884428
119,54.73592430635182,14.083707436671125
120,54.73832920911788,9.803839111199498
121,41.7931768164829,18.652965827777212
122,58.56398794323472,23.58771127897981
123,68.65774511144757,27.511785260480142
124,57.51933032686774,20.370473902098876
125,41.532062819315954,28.143077727856458
